latitude,longitude,date,attacks
17.9892,-92.9281,2007-01-20,1
19.7086,-103.4642,2009-11-22,1
31.3278,-109.5469,2013-03-11,1
23.7311,-99.1513,2018-05-30,1
28.6391,-106.0728,2012-08-19,1
28.8375,-105.9111,2006-08-09,1
19.360533,-99.226707,1998-10-23,1
20.3726,-103.8243,1997-12-16,1
31.3278,-109.5469,2007-12-04,1
25.4639,-108.0794,2019-03-24,1
27.4885,-99.5076,2012-05-21,1
32.5250,-117.0333,2012-10-15,1
22.6499,-102.9901,2020-12-09,1
17.9488,-94.9139,2017-12-19,1
28.6391,-106.0728,2010-04-17,1
25.6828,-100.3116,2018-05-24,1
17.3347,-98.0140,2015-04-14,1
20.5333,-97.4500,2012-07-25,1
20.0603,-97.0409,2003-07-13,1
20.5330,-97.4500,2014-02-05,1
31.7354,-106.4830,2010-09-30,1
17.9488,-94.9139,2017-07-09,1
31.7354,-106.4830,1993-03-14,1
31.7354,-106.4830,2010-09-27,1
18.8336,-96.7993,2017-03-17,1
29.0958,-110.9507,2005-04-02,1
32.5250,-117.0333,2022-01-17,1
32.4719,-114.7719,2022-08-16,1
26.0868,-98.2836,2014-08-16,1
24.8000,-107.3833,2011-08-24,1
18.9221,-99.2347,1994-07-11,1
31.7354,-106.4830,2015-12-28,1
27.9649,-110.8097,2022-02-24,1
16.7475,-93.1033,1993-02-01,1
28.7054,-100.5146,2015-08-22,1
16.3278,-96.5925,2014-02-16,1
19.44506,-99.14612,2006-11-17,1
24.8000,-107.3833,2007-09-05,1
19.3984,-99.15766,2015-07-31,1
27.4885,-99.5076,2018-01-13,1
18.4620,-97.3926,2016-02-08,1
18.5998,-96.6821,2015-05-04,1
20.5333,-97.4500,2016-05-14,1
28.6391,-106.0728,2011-12-02,1
25.9333,-105.3667,2009-05-03,1
25.5768,-103.4923,2009-05-25,1
25.4214,-101.0002,2013-04-23,1
27.9183,-110.8989,2021-07-22,1
18.6000,-99.1833,1994-07-06,1
19.5400,-96.9275,2012-04-28,1
19.4209,-102.0628,2007-12-08,1
25.6462,-100.0909,2014-08-21,1
16.8635,-99.8826,2007-04-06,1
32.4719,-114.7719,2019-03-16,1
22.7459,-102.5174,2014-07-29,1
19.1903,-96.1533,2006-11-21,1
17.5500,-99.5000,1997-03-22,1
22.1149,-103.2679,1998-12-15,1
19.360533,-99.226707,1999-06-07,1
31.7354,-106.4830,2008-06-23,1
21.4440,-104.9005,2023-07-05,1
18.6163,-96.6932,2020-09-09,1
17.0582,-96.6968,2006-10-27,1
23.7311,-99.1513,2008-02-27,1
31.8673,-116.6147,2023-02-21,1
19.44506,-99.14612,2012-06-30,1
17.9892,-92.9281,2018-05-15,1
20.5333,-97.4500,2005-04-08,1
19.1018,-96.1080,2012-05-03,4
31.7354,-106.4830,2010-09-16,1
19.2921,-99.6558,2010-10-27,1
21.5438,-105.2862,2015-08-06,1
26.3792,-98.9991,2002-01-17,1
25.6649,-100.2055,2011-03-25,3
32.4719,-114.7719,1997-07-15,1
24.0232,-104.6712,2009-10-10,1
27.4885,-99.5076,2011-09-24,1
16.8635,-99.8826,2018-10-24,1
18.6333,-91.8333,2010-09-07,1
#FIELD!,#FIELD!,2017-08-22,1
20.5333,-97.4500,2008-12-14,1
#FIELD!,#FIELD!,2015-06-18,1
31.7354,-106.4830,2001-03-09,1
20.1582,-102.1858,2012-08-18,2
16.8635,-99.8826,2004-05-22,1
19.4574,-99.1875,2002-02-01,1
18.4620,-97.3926,2023-05-23,1
16.8635,-99.8826,2009-07-28,1
28.6391,-106.0728,2012-04-20,2
15.8361,-96.3221,2015-07-09,1
24.8000,-107.3833,2017-05-15,1
20.6752,-103.3473,2005-09-17,1
19.3667,-96.3667,2012-11-27,1
17.5438,-99.5208,2010-03-12,1
20.1767,-98.0528,2016-09-14,1
32.5250,-117.0333,2004-06-22,1
16.1825,-95.1977,2022-02-10,1
17.8352,-93.3908,2019-06-11,1
25.4403,-102.1792,2015-01-05,1
21.2987,-100.5151,2022-08-02,1
17.0095,-100.0890,2010-06-28,2
19.9167,-96.7000,2004-04-19,1
26.8908,-111.9838,2019-01-19,1
19.4000,-100.3667,2009-07-12,1
19.360533,-99.226707,1996-12-03,1
23.2006,-106.4215,2014-10-11,1
19.6476,-102.0477,2010-04-06,1
26.3156,-98.8333,2008-02-05,1
20.3333,-102.0167,2006-03-09,1
16.0914,-93.7518,2021-10-04,1
23.7311,-99.1513,2013-06-24,1
19.0578,-96.1562,2015-01-02,1
16.3295,-97.9162,2016-01-21,1
16.8635,-99.8826,2014-05-26,1
27.4885,-99.5076,1993-02-01,1
27.1333,-104.9167,2013-03-26,1
25.8797,-97.5042,2000-04-09,1
21.6025,-98.6633,2012-05-18,1
27.9649,-110.8097,2012-05-18,1
18.1858,-93.0498,2015-08-04,1
26.0868,-98.2836,2005-10-25,1
27.4939,-109.9389,2020-05-16,1
18.3445,-99.5384,2023-06-02,1
18.8942,-96.9347,2004-02-11,1
26.8266,-109.6433,2011-06-14,1
19.1903,-96.1533,2011-06-20,2
16.0170,-96.6160,2019-05-02,1
26.9157,-101.4290,2008-07-08,1
28.6391,-106.0728,2016-12-10,1
18.8000,-97.1833,2006-11-30,1
18.6605,-99.1870,2019-07-30,1
16.3259,-95.2374,2021-06-17,1
25.8797,-97.5042,1999-04-15,1
18.9221,-99.2347,2012-05-13,1
27.4960,-109.9328,2020-11-02,1
18.3472,-100.6531,2003-12-13,1
16.9650,-99.0998,2010-01-29,1
17.8052,-97.7837,2016-06-26,1
#FIELD!,#FIELD!,2017-04-16,1
31.7354,-106.4830,2022-08-11,4
25.7672,-108.9923,2014-10-10,1
25.6828,-100.3116,2007-05-10,2
16.7475,-93.1033,2006-03-29,1
19.35738,-99.0671,2011-09-01,2
18.8167,-97.1667,2006-11-28,1
20.0560,-99.3435,2023-02-13,1
17.1780,-92.3335,2018-09-21,1
23.7311,-99.1513,2022-06-29,1
20.7198,-100.7626,2015-06-25,1
25.8072,-100.5972,2014-02-28,1
19.35738,-99.0671,1992-11-13,1
18.3445,-99.5384,2020-08-02,1
23.2006,-106.4215,2009-10-11,1
17.9892,-92.9281,2015-09-23,2
