dw_key,dw_estado,acum_ataques,acum_desaparecidos,acum_muertos
MX-SLP,San Luis Potosi,3,2,1
MX-HID,Hidalgo,0,0,0
MX-YUC,Yucatán,0,0,0
MX-CHH,Chihuahua,26,1,27
MX-ROO,Quintana Roo,5,0,5
MX-JAL,Jalisco,5,0,5
MX-BCS,Baja California Sur,3,0,3
MX-CAM,Campeche,1,0,1
MX-COL,Colima,1,0,1
MX-NAY,Nayarit,3,0,3
MX-SON,Sonora,8,1,7
MX-COA,Coahuila,8,2,6
MX-OAX,Oaxaca,17,0,20
MX-VER,Veracruz,28,2,31
MX-CHP,Chiapas,5,0,5
MX-MIC,Michoacán,11,3,12
MX-SIN,Sinaloa,11,2,11
MX-AGU,Aguascalientes,0,0,0
MX-TLA,Tlaxcala,1,0,1
MX-MOR,Morelos,7,0,7
MX-TAB,Tabasco,9,1,9
MX-DUR,Durango,7,0,7
MX-NLE,Nuevo León,7,2,8
MX-GRO,Guerrero,21,2,20
MX-GUA,Guanajuato,2,0,2
MX-CMX,Ciudad de México,16,0,19
MX-QUE,Querétaro,0,0,0
MX-PUE,Puebla,4,0,4
MX-TAM,Tamaulipas,23,1,22
MX-BCN,Baja California,5,0,5
MX-MEX,Estado de México,7,0,7
MX-ZAC,Zacatecas,1,0,1
